country,iso3,dimension,was_clamped,clamp_direction,clamp_adjustment,distance_from_lower,distance_from_upper
Portugal,PRT,D2,True,LOWER,2.56,0.28,19.87
Portugal,PRT,D3,False,NONE,-0.07,3.49,13.09
Portugal,PRT,D4,True,LOWER,10.27,0.46,14.62
Serbia,SRB,D1,True,LOWER,13.23,0.15,10.61
Serbia,SRB,D2,False,NONE,-6.39,8.42,17.57
Serbia,SRB,D3,False,NONE,2.35,2.57,15.66
Serbia,SRB,D4,False,NONE,-1.98,4.95,16.22
Slovakia,SVK,D1,True,LOWER,3.99,0.64,6.71
Slovakia,SVK,D2,False,NONE,0.29,10.0,21.66
Slovakia,SVK,D3,False,NONE,-0.12,9.56,8.94
Slovakia,SVK,D4,False,NONE,-0.35,3.46,25.19
Sweden,SWE,D1,True,LOWER,4.16,0.41,6.0
Sweden,SWE,D2,True,LOWER,16.74,0.72,14.0
Sweden,SWE,D3,False,NONE,0.44,3.38,10.7
Sweden,SWE,D4,False,NONE,0.03,7.98,13.49
Thailand,THA,D1,True,LOWER,7.01,0.1,2.16
Thailand,THA,D2,True,LOWER,3.2,0.86,1.95
Thailand,THA,D3,True,UPPER,-8.39,2.74,0.47
Thailand,THA,D4,True,UPPER,-1.67,6.0,0.19
Taiwan,TWN,D1,True,LOWER,3.03,0.1,10.46
Taiwan,TWN,D2,False,NONE,-0.41,6.28,7.03
Taiwan,TWN,D3,False,NONE,0.04,5.9,2.5
Taiwan,TWN,D4,False,NONE,-0.04,8.62,5.59
Ukraine,UKR,D1,False,NONE,0.35,0.46,7.05
Ukraine,UKR,D2,False,NONE,0.14,17.08,5.66
Ukraine,UKR,D3,True,UPPER,-1.96,15.74,0.93
Ukraine,UKR,D4,False,NONE,-0.43,16.29,7.62
United States,USA,D1,True,UPPER,-2.19,5.68,0.08
United States,USA,D2,True,LOWER,0.26,0.24,4.84
United States,USA,D3,True,UPPER,-10.64,6.63,0.32
United States,USA,D4,True,UPPER,-9.57,2.01,0.81
Venezuela,VEN,D1,True,LOWER,14.33,0.35,1.06
Venezuela,VEN,D2,True,LOWER,7.7,0.39,7.15
Venezuela,VEN,D3,True,LOWER,12.66,0.87,2.4
Venezuela,VEN,D4,True,LOWER,7.22,0.57,2.68
South Africa,ZAF,D1,True,LOWER,0.86,0.29,15.29
South Africa,ZAF,D2,True,UPPER,-5.79,17.6,0.69
South Africa,ZAF,D3,True,UPPER,-0.54,15.41,0.19
South Africa,ZAF,D4,True,UPPER,-8.78,20.3,0.25
Zimbabwe,ZWE,D1,True,UPPER,-0.36,7.1,0.02
Zimbabwe,ZWE,D2,False,NONE,0.18,8.25,16.22
Zimbabwe,ZWE,D3,False,NONE,0.49,23.2,11.66
Zimbabwe,ZWE,D4,False,NONE,-0.19,14.68,22.22
Angola,AGO,D1,True,LOWER,0.48,0.24,24.26
Angola,AGO,D2,False,NONE,-0.31,20.9,18.07
Angola,AGO,D3,False,NONE,-0.31,30.56,12.1
Angola,AGO,D4,False,NONE,-0.11,33.0,22.17
Albania,ALB,D1,False,NONE,-0.44,10.78,10.1
Albania,ALB,D2,True,UPPER,-12.39,20.44,0.63
Albania,ALB,D3,False,NONE,-0.33,22.4,13.65
Albania,ALB,D4,False,NONE,-0.38,18.6,30.0
United Arab Emirates,ARE,D1,False,NONE,-0.47,3.13,19.34
United Arab Emirates,ARE,D2,False,NONE,0.22,16.57,32.55
United Arab Emirates,ARE,D3,False,NONE,-0.27,33.77,8.86
United Arab Emirates,ARE,D4,False,NONE,-0.02,42.76,16.74
Armenia,ARM,D1,False,NONE,0.36,11.37,8.9
Armenia,ARM,D2,False,NONE,-0.49,12.51,25.09
Armenia,ARM,D3,False,NONE,0.44,40.27,2.86
Armenia,ARM,D4,False,NONE,0.44,31.95,29.94
Belgium,BEL,D1,False,NONE,-0.4,0.85,14.7
Belgium,BEL,D2,True,LOWER,1.38,0.16,25.65
Belgium,BEL,D3,False,NONE,-0.1,4.02,11.69
Belgium,BEL,D4,False,NONE,-0.4,3.39,23.9
Bangladesh,BGD,D1,False,NONE,0.23,0.8,17.04
Bangladesh,BGD,D2,False,NONE,-0.08,8.32,19.1
